metric,shape_a,shape_b,mean_diff,ci_low,ci_high,p_value,significant_at_alpha
Stability Disturbance Index,Prolate Ellipsoid,Sphere,-0.0472513494405256,-0.0868499289520702,-0.00765276992898101,0.0116665020945679,0
Stability Disturbance Index,Cuboid,Sphere,-0.101496148557216,-0.141094728068761,-0.0618975690456714,2.61746936876338e-10,1
Stability Disturbance Index,Flattened Ellipsoid,Sphere,-0.13542089706411,-0.175119347048296,-0.0957224470799234,3.83576940657816e-18,1
Stability Disturbance Index,Cuboid,Prolate Ellipsoid,-0.0542447991166904,-0.093843378628235,-0.0146462196051458,0.00244327069998894,1
Stability Disturbance Index,Flattened Ellipsoid,Prolate Ellipsoid,-0.0881695476235839,-0.12786799760777,-0.0484710976393978,6.90447833884246e-08,1
Stability Disturbance Index,Cuboid,Flattened Ellipsoid,-0.0339247485068935,-0.0736231984910796,0.00577370147729259,0.124455303231552,0
Surface Area / Volume,Prolate Ellipsoid,Sphere,-0.700693770806147,-3.19772997505608,1.79634243344379,0.888811836563262,0
Surface Area / Volume,Cuboid,Sphere,-3.35223930109863,-5.84927550534857,-0.855203096848699,0.00315808597730188,1
Surface Area / Volume,Flattened Ellipsoid,Sphere,-1.34868639215191,-3.8520203017488,1.15464751744497,0.509338452102142,0
Surface Area / Volume,Cuboid,Prolate Ellipsoid,-2.65154553029249,-5.14858173454242,-0.154509326042552,0.0323237830354732,0
Surface Area / Volume,Flattened Ellipsoid,Prolate Ellipsoid,-0.647992621345765,-3.15132653094265,1.85534128825112,0.910250951083613,0
Surface Area / Volume,Cuboid,Flattened Ellipsoid,2.00355290894672,-0.499781000650162,4.50688681854361,0.167710442946026,0
Structural Penalty,Prolate Ellipsoid,Sphere,-0.150036015311837,-0.150036015311837,-0.150036015311837,0,1
Structural Penalty,Cuboid,Sphere,-0.476401224401701,-0.476401224401701,-0.476401224401701,0,1
Structural Penalty,Flattened Ellipsoid,Sphere,-0.268266839662233,-0.268266839662233,-0.268266839662233,0,1
Structural Penalty,Cuboid,Prolate Ellipsoid,-0.326365209089863,-0.326365209089863,-0.326365209089863,0,1
Structural Penalty,Flattened Ellipsoid,Prolate Ellipsoid,-0.118230824350395,-0.118230824350395,-0.118230824350395,0,1
Structural Penalty,Cuboid,Flattened Ellipsoid,0.208134384739468,0.208134384739468,0.208134384739468,0,1
